Title,Release Date,Game Score,Developer,Publisher,Genre,Image URL
Master Detective Archives: RAIN CODE,"Jun 30, 2023",77,Too Kyo Games,Spike Chunsoft,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/1/3/4/2/544699-831342.jpg
Viewfinder,"Jul 18, 2023",84,Sad Owl Studios,Thunderful,First-Person,https://www.gamespot.com/a/uploads/scale_tiny/box/8/9/8/0/577616-908980.jpg
Nickelodeon All-Star Brawl,"Oct 5, 2021",65,Ludosity Interactive,GameMill Entertainment,2D,https://www.gamespot.com/a/uploads/scale_tiny/box/7/5/1/2/534667-807512.jpg
Hot Wheels Unleashed,"Sep 27, 2021",75,Milestone S.r.l,Milestone S.r.l,Arcade,https://www.gamespot.com/a/uploads/scale_tiny/box/8/9/7/3/527577-788973.jpg
RiffTrax: The Game,"May 5, 2022",79,Wide Right Interactive,Wide Right Interactive,Party/Minigame,https://www.gamespot.com/a/uploads/scale_tiny/box/9/9/7/7/560644-859977.jpg
If Found...,"May 18, 2020",84,dreamfeel,Annapurna Interactive,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/5/0/3/1/501672-725031.jpg
Super Mario 3D All-Stars,"Sep 18, 2020",82,Nintendo,Nintendo,Compilation,https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/8/5/518190-766085.jpg
NBA 2K24,"Sep 8, 2023",68,Visual Concepts,2K Games,Basketball,https://www.gamespot.com/a/bundles/gamespotsite/images/box-art--square.jpg
Sam & Max: Beyond Time and Space,"Dec 8, 2021",80,Telltale Games,Telltale Games,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/6/7/4/6/40703-106746.jpg
Nobody Saves the World,"Jan 18, 2022",79,DrinkBox Studios,DrinkBox Studios,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/2/9/3/7/529058-792937.jpg
Granblue Fantasy: Relink,"Jan 29, 2024",80,Cygames,Cygames,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/8/3/2/1/457900-838321.jpg
Neon White,"Jun 16, 2022",89,Angel Matrix,Annapurna Interactive,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/7/6/1/5/527223-787615.jpg
WarioWare: Get It Together!,"Sep 10, 2021",76,Intelligent Systems,Nintendo,Party/Minigame,https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/3/2/533308-803832.jpg
Watch Dogs: Legion,"Oct 29, 2020",76,Ubisoft,Ubisoft,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/4/7/497453-715947.jpg
Balatro,"Feb 20, 2024",90,LocalThunk,PlayStack,Card Game,https://www.gamespot.com/a/uploads/scale_tiny/box/8/1/6/2/589348-938162.jpg
Sea of Stars,"Aug 29, 2023",87,Sabotage Studio,Sabotage Studio,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/6/2/3/6/509725-746236.jpg
Aragami 2,"Sep 17, 2021",64,Lince Works,Arc System Works,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/5/2/7/8/517831-765278.jpg
Metal Gear Solid: Master Collection Vol. 1,"Oct 24, 2023",74,Konami,Konami,Compilation,https://www.gamespot.com/a/uploads/scale_tiny/box/8/4/1/2/589436-938412.jpg
Scarlet Nexus,"Jun 25, 2021",80,Bandai Namco Games,Bandai Namco Games,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/1/4/9/7/511895-751497.jpg
Venba,"Jul 31, 2023",79,Visai Games,Visai Games,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/0/4/8/8/524069-780488.jpg
Genshin Impact,"Sep 28, 2020",81,miHoYo,miHoYo,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/2/3/3/6/500614-722336.jpg
Tekken 8,"Jan 26, 2024",90,Bandai Namco Games,Bandai Namco Games,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/2/1/0/9/572026-892109.jpg
Ghost of Tsushima,"Jul 17, 2020",83,Nixxes Software,PlayStation PC,Action,https://www.gamespot.com/a/uploads/scale_tiny/1197/11970954/3353350-ghostoftsushima-box.jpg
PGA Tour 2K23,"Oct 11, 2022",76,HB Studios Multimedia,2K Games,Golf,https://www.gamespot.com/a/uploads/scale_tiny/box/8/0/1/3/570645-888013.jpg
Monster Hunter Rise,"Mar 26, 2021",88,Capcom,Capcom,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/7/9/1/9/519025-767919.jpg
Nickelodeon All-Star Brawl 2,"Nov 7, 2023",77,Ludosity Interactive,GameMill Entertainment,2D,https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/6/7/596244-953767.jpg
Cyberpunk 2077,"Dec 10, 2020",86,CD Projekt Red Studio,Warner Bros. Interactive Entertainment,Action,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3548789-unknown.jpg
WindJammers 2,"Jan 20, 2022",78,DotEmu,DotEmu,Sports,https://www.gamespot.com/a/uploads/scale_tiny/box/3/3/1/2/485985-683312.jpg
THE FINALS,"Dec 7, 2023",80,Embark Studios,Embark Studios,First-Person,https://www.gamespot.com/a/uploads/scale_tiny/box/8/5/2/0/570887-888520.jpg
EA Sports FC 24,"Sep 22, 2023",75,EA Canada,Electronic Arts,Simulation,https://www.gamespot.com/a/uploads/scale_tiny/box/9/2/7/7/593624-949277.jpg
WWE 2K24,"Mar 5, 2024",81,Visual Concepts,2K Games,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/3/1/615521-996031.jpg
Sam & Max: Save the World,"Dec 2, 2020",75,Skunkape Games,Skunkape Games,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/4/4/4/1/30182-84441.jpg
Planet of Lana,"May 23, 2023",80,Wishfully,Thunderful,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/2/7/3/2/533059-802732.jpg
Oxenfree II: Lost Signals,"Jul 12, 2023",73,Night School Studio,Netflix,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/5/4/2/6/530139-795426.jpg
Bloodstained: Curse of the Moon 2,"Jul 10, 2020",82,Inti,Limited Run Games,Platformer,https://www.gamespot.com/a/uploads/scale_tiny/box/7/2/0/7/514411-757207.jpg
Animal Well,"May 9, 2024",91,Shared Memory,Limited Run Games,Metroidvania,https://www.gamespot.com/a/uploads/scale_tiny/box/2/4/5/1/557748-852451.jpg
Monster Hunter Stories 2: Wings of Ruin,"Jul 9, 2021",81,Capcom,Capcom,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/7/9/2/0/519026-767920.jpg
Bright Memory: Infinite,"Nov 11, 2021",67,FYQD-Studio,Playism,Shooter,https://www.gamespot.com/a/uploads/scale_tiny/box/6/5/3/4/506156-736534.jpg
The Big Con,"Aug 31, 2021",77,Mighty Yell,Mighty Yell,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/7/2/501174-723772.jpg
Wild Hearts,"Feb 17, 2023",79,Omega Force,Electronic Arts,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/4/6/2/8/572856-894628.jpg
Ratchet & Clank: Rift Apart,"Jun 11, 2021",88,Nixxes Software,Sony Interactive Entertainment,Platformer,https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/6/0/513782-755760.jpg
