Title,Release Date,Game Score,Developer,Publisher,Genre,Image URL
Advance Wars 1 + 2: Re-Boot Camp,"Apr 21, 2023",83,WayForward,Nintendo,Strategy,https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/3/8/533310-803838.jpg
Mortal Shell,"Aug 18, 2020",76,Cold Symmetry,PlayStack,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/7/5/3/6/510197-747536.jpg
Resident Evil Village,"May 7, 2021",84,Capcom,Capcom,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/7/9/513797-755779.jpg
The Stanley Parable: Ultra Deluxe,"Apr 27, 2022",90,Crows Crows Crows,Crows Crows Crows,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/4/2/0/8/192284-694208.jpg
Ori and the Will of the Wisps,"Mar 11, 2020",90,Mon Studios,iam8bit,Metroidvania,https://www.gamespot.com/a/uploads/scale_tiny/1576/15769789/3246500-oritop.jpg
NBA 2K21,"Sep 3, 2020",68,Visual Concepts,2K Games,Arcade,https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/7/5/513794-755775.jpg
Treachery in Beatdown City,"Mar 30, 2020",64,Nuchallenger,Nuchallenger,Action,https://www.gamespot.com/a/uploads/scale_tiny/1440/14409144/2230808-default-art--square.jpg
Weird West,"Mar 31, 2022",76,Devolver Digital,Devolver Digital,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/8/7/505929-735987.jpg
Granblue Fantasy: Versus,"Mar 3, 2020",78,Arc System Works,Xseed Games,2D,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3540552-gran.gif
Death Come True,"Jun 24, 2020",75,Too Kyo Games,Izanagi Games,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/6/1/4/0/505753-736140.jpg
Eiyuden Chronicle: Rising,"May 10, 2022",71,NATSUME ATARI Inc.,505 Games,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/3/2/8/7/533236-803287.jpg
MLB The Show 22,"Apr 1, 2022",77,Sony Interactive Entertainment San Diego Studio,Sony Interactive Entertainment,Baseball,https://www.gamespot.com/a/uploads/scale_tiny/box/0/7/5/8/556693-850758.jpg
Evil Genius 2: World Domination,"Mar 30, 2021",75,Rebellion,Rebellion,Strategy,https://www.gamespot.com/a/uploads/scale_tiny/box/3/2/8/3/497272-713283.jpg
Dead Island 2,"Apr 21, 2023",73,Deep Silver Dambuster Studios,PLAION,3D,https://www.gamespot.com/a/uploads/scale_tiny/1197/11970954/2556638-14384067381_91c642f333_o.jpg
Umurangi Generation,"May 19, 2020",81,ORIGAME DIGITAL,ORIGAME DIGITAL,VR,https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/4/4/508841-743844.jpg
Bear and Breakfast,"Jul 28, 2022",72,Gummy Cat,Armor Games,Management,https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/6/7/517329-763867.jpg
Before Your Eyes,"Apr 8, 2021",77,GoodbyeWorld Games,Netflix,VR,https://www.gamespot.com/a/uploads/scale_tiny/box/1/3/9/6/508161-741396.jpg
In Other Waters,"Apr 3, 2020",78,Jump Over The Age,Fellow Traveller,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/1/0/0/2/485059-681002.jpg
The Dark Pictures Anthology: House of Ashes,"Oct 22, 2021",72,SuperMassive Games,Bandai Namco Games,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/4/1/2/5/521489-774125.jpg
Cloudpunk,"Apr 23, 2020",73,ION LANDS,ION LANDS,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/1/6/3/9/489149-691639.jpg
The Pathless,"Nov 12, 2020",77,Giant Squid,Annapurna Interactive,Action,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3594076-screen%20shot%202019-10-18%20at%209.32.30%20am.png
MLB The Show 24,"Mar 15, 2024",80,Sony Interactive Entertainment San Diego Studio,MLBAM,Baseball,https://www.gamespot.com/a/uploads/scale_tiny/box/7/9/9/0/616202-997990.jpg
Chicory: A Colorful Tale,"Jun 10, 2021",90,Greg Lobanov,Finji,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/8/6/501181-723786.jpg
Fire Emblem Engage,"Jan 20, 2023",80,Intelligent Systems,Nintendo,Turn-Based,https://www.gamespot.com/a/uploads/scale_tiny/box/1/9/9/5/572012-891995.jpg
Desperados III,"Jun 16, 2020",86,Mimimi Productions,THQ Nordic,Strategy,https://www.gamespot.com/a/uploads/scale_tiny/box/3/5/2/2/486056-683522.jpg
Valorant,"Jun 2, 2020",80,Riot Games,Riot Games,Action,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3682945-screen%20shot%202020-06-12%20at%2010.56.41%20am.png
Riders Republic,"Oct 28, 2021",77,Ubisoft,Ubisoft,Sports,https://www.gamespot.com/a/uploads/scale_tiny/box/6/9/7/6/518603-766976.jpg
Maneater,"May 22, 2020",70,Blindside Interactive,Tripwire Interactive,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/8/7/0/0/467444-638700.jpg
Olija,"Jan 28, 2021",77,Skeleton Crew Studio,Devolver Digital,Platformer,https://www.gamespot.com/a/uploads/scale_tiny/box/1/9/1/5/485429-681915.jpg
Lost in Random,"Sep 10, 2021",78,Zoink!,Electronic Arts,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/5/5/4/7/497642-715547.jpg
Amnesia: The Bunker,"Jun 6, 2023",77,Frictional Games,Frictional Games,Survival,https://www.gamespot.com/a/uploads/scale_tiny/box/7/7/2/5/577134-907725.jpg
Pacific Drive,"Feb 21, 2024",79,Ironwood,Ironwood,Survival,https://www.gamespot.com/a/uploads/scale_tiny/box/2/1/1/4/572027-892114.jpg
Hyrule Warriors: Age of Calamity,"Nov 20, 2020",78,Omega Force,Nintendo,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/6/4/2/7/518353-766427.jpg
Twelve Minutes,"Aug 19, 2021",76,Luis Antonio,Annapurna Interactive,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/5/6/2/8/406142-715628.jpg
Pentiment,"Nov 14, 2022",86,Obsidian Entertainment,Limited Run Games,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/5/5/9/1/566099-875591.jpg
Ninjala,"Jun 24, 2020",68,Soleil Ltd.,"GungHo Online Entertainment America, Inc.",Action,https://www.gamespot.com/a/uploads/scale_tiny/box/6/1/0/3/483430-676103.jpg
Evergate,"Aug 18, 2020",70,Stone Lantern Games LLC,PQube,Platformer,https://www.gamespot.com/a/uploads/scale_tiny/box/3/6/2/1/486090-683621.jpg
Rock of Ages 3: Make & Break,"Jul 21, 2020",72,ACE Team,Modus,Strategy,https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/0/7/501145-723707.jpg
Famicom Detective Club: The Missing Heir,"May 14, 2021",74,Mages.,Nintendo,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/7/6/0/8/527219-787608.jpg
FIFA 21,"Oct 6, 2020",72,Electronic Arts,Electronic Arts,Simulation,https://www.gamespot.com/a/uploads/scale_tiny/box/6/9/4/4/514266-756944.jpg
Paper Mario: The Origami King,"Jul 17, 2020",80,Intelligent Systems,Nintendo,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/2/3/9/5/512300-752395.jpg
Disney Dreamlight Valley,"Sep 6, 2022",70,Gameloft,Gameloft,Simulation,https://www.gamespot.com/a/uploads/scale_tiny/box/7/9/9/7/563578-867997.jpg
Mario Kart Live: Home Circuit,"Oct 16, 2020",75,Velan Studios,Nintendo,Arcade,https://www.gamespot.com/a/bundles/gamespotsite/images/box-art--square.jpg
Turnip Boy Commits Tax Evasion,"Apr 22, 2021",74,Plug In Digital,Plug In Digital,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/8/0/0/2/506758-738002.jpg
Another Code: Recollection,"Jan 19, 2024",73,Arc System Works,Nintendo,Compilation,https://www.gamespot.com/a/uploads/scale_tiny/box/6/8/4/9/603152-966849.jpg
Biomutant,"May 25, 2021",66,Experiment 101,THQ Nordic,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/2/5/1/5/469225-642515.jpg
Cult of the Lamb,"Aug 11, 2022",82,Massive Monster,Devolver Digital,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/5/5/536959-813755.jpg
Grounded,"Jul 28, 2020",82,Double Eleven,Xbox Game Studios,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/2/7/2/8/504764-732728.jpg
Gnosia,"Mar 4, 2021",82,Petit Depotto,Petit Depotto,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/7/8/8/9/464609-717889.jpg
Panzer Paladin,"Jul 21, 2020",77,Tribute Games,Tribute Games,Platformer,https://www.gamespot.com/a/uploads/scale_tiny/box/4/0/4/9/508909-744049.jpg
Dying Light 2 Stay Human,"Feb 4, 2022",76,Techland,Techland,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/5/8/0/9/483358-675809.jpg
Game Builder Garage,"Jun 11, 2021",77,Nintendo,Nintendo,,https://www.gamespot.com/a/uploads/scale_tiny/box/7/8/5/7/531154-797857.jpg
"Warhammer 40,000: Boltgun","May 23, 2023",75,Auroch Digital,Focus Entertainment,Shooter,https://www.gamespot.com/a/uploads/scale_tiny/box/3/2/2/0/565454-873220.jpg
Hogwarts Legacy,"Feb 7, 2023",84,Avalanche Software,Warner Bros. Games,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/7/8/9/9/519019-767899.jpg
Resident Evil 3,"Apr 3, 2020",79,Capcom,Capcom,3D,https://www.gamespot.com/a/uploads/scale_tiny/1574/15746725/3645502-123.jpg
WarioWare: Move It!,"Nov 3, 2023",75,Intelligent Systems,Nintendo,Party/Minigame,https://www.gamespot.com/a/uploads/scale_tiny/box/4/7/1/8/591687-944718.jpg
DNF Duel: Who's Next,"Jun 28, 2022",79,Eighting,Nexon,2D,https://www.gamespot.com/a/uploads/scale_tiny/box/9/3/8/1/549011-839381.jpg
Sonic Frontiers,"Nov 8, 2022",70,Sonic Team,Sega,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/0/8/4/0/532386-800840.jpg
Good Job!,"Mar 26, 2020",78,Paladin Studios,Nintendo,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/6/8/3/5/509966-746835.jpg
Marvel's Guardians of the Galaxy,"Oct 26, 2021",80,Eidos Montreal,Square Enix,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/3/3/3/1/533247-803331.jpg
Star Renegades,"Sep 8, 2020",77,"Massive Damage, Inc.",Raw Fury,Strategy,https://www.gamespot.com/a/uploads/scale_tiny/box/6/4/2/1/479637-666421.jpg
Grapple Dog,"Feb 10, 2022",76,Joseph Gribbin,"H2 Interactive Co., Ltd.",Platformer,https://www.gamespot.com/a/uploads/scale_tiny/box/3/1/6/3/525369-783163.jpg
Title,Release Date,Game Score,Developer,Publisher,Genre,Image URL
Capcom Fighting Collection,"Jun 24, 2022",79,Capcom,Capcom,Compilation,https://www.gamespot.com/a/uploads/scale_tiny/box/4/6/7/5/558636-854675.jpg
Rogue Legacy 2,"Aug 18, 2020",88,Cellar Door Games,Cellar Door Games,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/7/7/1/7/510292-747717.jpg
Minecraft Dungeons,"May 26, 2020",70,Mojang AB,Mojang AB,Action,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3537111-minecraft-dungeons-logo.jpg
Helldivers 2,"Feb 8, 2024",82,Arrowhead Game Studios,PlayStation PC,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/8/3/9/0/589428-938390.jpg
Ikenfell,"Oct 8, 2020",73,Happy Ray Games,Humble Games,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/0/7/2/5/481450-670725.jpg
Nioh 2,"Mar 13, 2020",85,Team Ninja,Koei Tecmo Games,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/7/4/483420-676074.jpg
Psychonauts 2,"Aug 25, 2021",87,Double Fine Productions,Xbox Game Studios,3D,https://www.gamespot.com/a/uploads/scale_tiny/1574/15746725/3476207-small.jpg
Sonic Superstars,"Oct 17, 2023",73,Arzest,Sega,2D,https://www.gamespot.com/a/uploads/scale_tiny/box/1/6/3/2/590637-941632.jpg
Spelunky 2,"Sep 15, 2020",87,Mossmouth,Mossmouth,Platformer,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3563969-screen%20shot%202019-07-25%20at%209.01.05%20am.png
Life is Strange: True Colors,"Sep 10, 2021",81,Deck Nine Games,Square Enix,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/1/7/9/7/528716-791797.jpg
The Last Campfire,"Aug 27, 2020",83,Hello Games,Hello Games,Puzzle,https://www.gamespot.com/a/uploads/scale_tiny/box/4/2/3/5/490220-694235.jpg
Deathloop,"Sep 14, 2021",88,Arkane Studios,Bethesda Softworks,3D,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3695852-1.jpg
Dragon Quest Treasures,"Dec 9, 2022",72,TOSE,Square Enix,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/8/0/3/2/532329-878032.jpg
Dead Space,"Jan 27, 2023",89,Motive Studios,Electronic Arts,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/9/0/8/9/535206-809089.jpg
Splatoon 3,"Sep 9, 2022",83,Nintendo,Nintendo,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/7/6/2/6/527230-787626.jpg
Humanity,"May 16, 2023",86,Tha Ltd.,Enhance Games,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/7/7/7/9/502645-727779.jpg
Call of Duty: Warzone,"Nov 14, 2022",79,Infinity Ward,Activision,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/2/7/4/3/572198-892743.jpg
Digimon Survive,"Jul 29, 2022",70,Hyde,Bandai Namco Games,Turn-Based,https://www.gamespot.com/a/uploads/scale_tiny/1574/15746725/3483548-untitled-1.jpg
NEO: The World Ends with You,"Jul 27, 2021",80,h.a.n.d. Inc.,Square Enix,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/7/2/5/5/522686-777255.jpg
Stray,"Jul 19, 2022",83,BlueTwelve Studio,Annapurna Interactive,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/6/2/513784-755762.jpg
Like a Dragon Gaiden: The Man Who Erased His Name,"Nov 9, 2023",78,Ryu ga Gotoku Studios,Sega,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/2/2/4/6/572099-892246.jpg
Desta: The Memories Between,"Sep 27, 2022",73,ustwo,Netflix,Strategy,https://www.gamespot.com/a/uploads/scale_tiny/box/6/6/7/6/566278-876676.jpg
Mario Golf: Super Rush,"Jun 25, 2021",70,Camelot Software Planning,Nintendo,Arcade,https://www.gamespot.com/a/uploads/scale_tiny/box/7/6/1/2/527222-787612.jpg
OlliOlli World,"Feb 8, 2022",84,roll7,Private Division,2D,https://www.gamespot.com/a/uploads/scale_tiny/box/5/4/2/1/530136-795421.jpg
Little Nightmares II,"Feb 11, 2021",82,Tarsier Studios,Bandai Namco Games,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/9/3/501202-723893.jpg
A Total War Saga: TROY,"Aug 13, 2020",75,Creative Assembly,Sega,Strategy,https://www.gamespot.com/a/uploads/scale_tiny/box/7/2/4/5/502448-727245.jpg
Super Mario Bros. Wonder,"Oct 20, 2023",92,Nintendo,Nintendo,Platformer,https://www.gamespot.com/a/uploads/scale_tiny/box/4/7/1/9/591688-944719.jpg
Stray Gods: The Roleplaying Musical,"Aug 10, 2023",75,Summerfall Studios,Humble Games,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/0/4/1/3/560766-860413.jpg
Mundaun,"Mar 16, 2021",72,Hidden Fields,MWM Interactive,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/3/2/9/2/482576-673292.jpg
Disney TRON: Identity,"Apr 11, 2023",67,Bithell Games,Bithell Games,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/1/6/0/2/571854-891602.jpg
Ring of Pain,"Oct 15, 2020",74,Twice Different,Twice Different,Card Game,https://www.gamespot.com/a/uploads/scale_tiny/box/0/6/8/5/496167-710685.jpg
Tell Me Why,"Aug 27, 2020",78,DONTNOD Entertainment,Xbox Game Studios,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/7/6/8/2/504767-757682.jpg
The Pedestrian,"Jan 29, 2020",81,Skookum Arts,Skookum Arts,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/9/9/8/7/460176-619987.jpg
Immortals Fenyx Rising,"Dec 3, 2020",81,Ubisoft Quebec,Ubisoft,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/5/8/1/7/497716-715817.jpg
Pepper Grinder,"Mar 28, 2024",78,Ahr Ech,Devolver Digital,Platformer,https://www.gamespot.com/a/uploads/scale_tiny/box/3/3/1/4/575754-903314.jpg
New Pokemon Snap,"Apr 30, 2021",79,Bandai Namco Games,Nintendo,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/6/4/6/7/514100-756467.jpg
Unsighted,"Sep 30, 2021",84,Studio Pixel Punk,Humble Games,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/0/5/0/8/496090-710508.jpg
Fall Guys,"Aug 4, 2020",81,Mediatonic,Epic Games,Party/Minigame,https://www.gamespot.com/a/uploads/scale_tiny/1576/15769789/3734627-header%281%29.jpg
Age of Empires IV,"Oct 28, 2021",81,Relic,Xbox Game Studios,Real-Time,https://www.gamespot.com/a/uploads/scale_tiny/box/4/9/4/8/469271-794948.jpg
Cris Tales,"Jul 20, 2021",74,Dreams Uncorporated,Oizumi Amuzio,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/3/6/497704-715736.jpg
Hellboy: Web of Wyrd,"Oct 18, 2023",61,Upstream Arcade,Good Shepherd Entertainment,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/8/9/7/2/577615-908972.jpg
Tetris Effect: Connected,"Nov 10, 2020",88,Monstars Inc.,Enhance Games,Matching/Stacking,https://www.gamespot.com/a/uploads/scale_tiny/box/1/1/0/5/516157-761105.jpg
Half-Life: Alyx,"Mar 23, 2020",93,Valve Software,Valve Software,3D,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3607221-header.jpg
Starfield,"Sep 1, 2023",83,Bethesda Game Studios,Bethesda Softworks,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/5/8/8/9/483376-675889.jpg
PGA Tour 2K21,"Aug 20, 2020",76,HB Studios Multimedia,2K Games,Golf,https://www.gamespot.com/a/uploads/scale_tiny/box/2/3/9/3/511842-752393.jpg
Final Fantasy VII Remake,"Apr 10, 2020",87,Square Enix,Square Enix,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3546367-screen%20shot%202019-06-11%20at%203.04.46%20pm.png
Wo Long: Fallen Dynasty,"Mar 3, 2023",80,Team Ninja,Koei Tecmo Games,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/5/6/0/5/566103-875605.jpg
SpongeBob SquarePants: The Cosmic Shake,"Jan 31, 2023",70,HandyGames,HandyGames,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/7/8/3/9/538333-817839.jpg
Xenoblade Chronicles 3,"Jul 29, 2022",89,Monolith Soft,Nintendo,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/2/4/1/8/557740-852418.jpg
MLB The Show 23,"Mar 24, 2023",82,Sony Interactive Entertainment San Diego Studio,MLBAM,Baseball,https://www.gamespot.com/a/uploads/scale_tiny/box/7/5/3/2/581284-917532.jpg
