Title,Release Date,Score,Developer,Publisher,Genre,Platforms,Image URL
Crusader Kings III,"Sep 1, 2020",91,Paradox Interactive,Paradox Interactive,Real-Time,"PC, PlayStation 5, Xbox Series X",/public/game_images/Crusader_Kings_III.jpg
Desta: The Memories Between,"Sep 27, 2022",73,ustwo,Netflix,Strategy,"PC, Nintendo Switch",
Digimon Survive,"Jul 29, 2022",70,Hyde,Bandai Namco Games,Strategy,"PC, Nintendo Switch, Xbox Series X",/public/game_images/Digimon_Survive.jpg
Call of Duty: Warzone,"Nov 14, 2022",79,Infinity Ward,Activision,Action,"PC, PlayStation 5, Xbox Series X",
Bugsnax,"Nov 12, 2020",75,"Young Horses, Inc","Young Horses, Inc",Adventure,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Bugsnax.jpg
A Total War Saga: TROY,"Aug 13, 2020",75,Creative Assembly,Sega,Strategy,PC,
The Legend of Zelda: Tears of the Kingdom,"May 12, 2023",96,Nintendo,Nintendo,Action,Nintendo Switch,
Mario Golf: Super Rush,"Jun 25, 2021",70,Camelot Software Planning,Nintendo,Arcade,Nintendo Switch,
Minecraft Legends,"Apr 18, 2023",71,Mojang AB,Mojang AB,Real-Time,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Minecraft_Legends.jpg
Guilty Gear -Strive-,"Jun 8, 2021",87,Arc System Works,Arc System Works,2D,"PC, PlayStation 5, Xbox Series X",/public/game_images/Guilty_Gear_-Strive-.jpg
NEO: The World Ends with You,"Jul 27, 2021",80,h.a.n.d. Inc.,Square Enix,Action,"PC, Nintendo Switch",
Super Mario Bros. Wonder,"Oct 20, 2023",92,Nintendo,Nintendo,Platformer,Nintendo Switch,/public/game_images/Super_Mario_Bros._Wonder.jpg
OlliOlli World,"Feb 8, 2022",84,roll7,Private Division,2D,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/OlliOlli_World.jpg
Mundaun,"Mar 16, 2021",72,Hidden Fields,MWM Interactive,3D,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Mundaun.jpg
Another Crab's Treasure,"Apr 25, 2024",79,Aggro Crab,Aggro Crab,Action,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/Another_Crab's_Treasure.jpg
Disney TRON: Identity,"Apr 11, 2023",67,Bithell Games,Bithell Games,Adventure,"PC, Nintendo Switch",
LEGO Star Wars: The Skywalker Saga,"Apr 5, 2022",82,TT Games,Warner Bros. Interactive Entertainment,Action,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",
The Medium,"Jan 28, 2021",71,Bloober Team,Bloober Team,3D,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/The_Medium.jpg
Nintendo Switch Sports,"Apr 29, 2022",72,Nintendo,Nintendo,Sports,Nintendo Switch,/public/game_images/Nintendo_Switch_Sports.jpg
Tell Me Why,"Aug 27, 2020",78,DONTNOD Entertainment,Xbox Game Studios,Adventure,"PC, Xbox Series X",/public/game_images/Tell_Me_Why.jpg
The Pedestrian,"Jan 29, 2020",81,Skookum Arts,Skookum Arts,Action,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/The_Pedestrian.jpg
Immortals Fenyx Rising,"Dec 3, 2020",81,Ubisoft Quebec,Ubisoft,Action,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Immortals_Fenyx_Rising.jpg
Stray Gods: The Roleplaying Musical,"Aug 10, 2023",75,Summerfall Studios,Humble Games,Role-Playing,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
Pepper Grinder,"Mar 28, 2024",78,Ahr Ech,Devolver Digital,Platformer,"PC, Nintendo Switch",/public/game_images/Pepper_Grinder.jpg
Age of Empires IV,"Oct 28, 2021",81,Relic,Xbox Game Studios,Real-Time,"PC, Xbox Series X",/public/game_images/Age_of_Empires_IV.jpg
Horizon Forbidden West,"Feb 18, 2022",88,Nixxes Software,PlayStation PC,Action,"PC, PlayStation 5",/public/game_images/Horizon_Forbidden_West.jpg
Unsighted,"Sep 30, 2021",84,Studio Pixel Punk,Humble Games,Action,"PC, Nintendo Switch",/public/game_images/Unsighted.jpg
Tetris Effect: Connected,"Nov 10, 2020",88,Monstars Inc.,Enhance Games,Matching/Stacking,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",
Fall Guys,"Aug 4, 2020",81,Mediatonic,Epic Games,Party/Minigame,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Fall_Guys.jpg
Project CARS 3,"Aug 3, 2020",70,Slightly Mad Studios,Bandai Namco Games,Simulation,PC,/public/game_images/Project_CARS_3.jpg
Half-Life: Alyx,"Mar 23, 2020",93,Valve Software,Valve Software,3D,PC,
SpongeBob SquarePants: The Cosmic Shake,"Jan 31, 2023",70,HandyGames,HandyGames,3D,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",
Xenoblade Chronicles 3,"Jul 29, 2022",89,Monolith Soft,Nintendo,Role-Playing,Nintendo Switch,/public/game_images/Xenoblade_Chronicles_3.jpg
New Pokemon Snap,"Apr 30, 2021",79,Bandai Namco Games,Nintendo,Action,Nintendo Switch,/public/game_images/New_Pokemon_Snap.jpg
MLB The Show 23,"Mar 24, 2023",82,Sony Interactive Entertainment San Diego Studio,MLBAM,Baseball,"Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/MLB_The_Show_23.jpg
Master Detective Archives: RAIN CODE,"Jun 30, 2023",77,Too Kyo Games,Spike Chunsoft,Adventure,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",
Viewfinder,"Jul 18, 2023",84,Sad Owl Studios,Thunderful,First-Person,"PC, PlayStation 5",/public/game_images/Viewfinder.jpg
Final Fantasy VII Remake,"Apr 10, 2020",87,Square Enix,Square Enix,Role-Playing,"PC, PlayStation 5",/public/game_images/Final_Fantasy_VII_Remake.jpg
Super Mario 3D All-Stars,"Sep 18, 2020",82,Nintendo,Nintendo,Compilation,Nintendo Switch,/public/game_images/Super_Mario_3D_All-Stars.jpg
