Title,Release Date,Score,Developer,Publisher,Genre,Platforms,Image URL
The Solitaire Conspiracy,"Oct 6, 2020",70,Mike Bithell,Mike Bithell,Trivia/Board Game,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/The_Solitaire_Conspiracy.jpg
Thirsty Suitors,"Nov 2, 2023",80,Outerloop Games,Annapurna Interactive,Action,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Thirsty_Suitors.jpg
Children of the Sun,"Apr 9, 2024",81,Rene Rother,Devolver Digital,Action,PC,/public/game_images/Children_of_the_Sun.jpg
Bravely Default II,"Feb 26, 2021",76,Claytech Works,Square Enix,Role-Playing,"PC, Nintendo Switch",/public/game_images/Bravely_Default_II.jpg
Spiritfarer,"Aug 18, 2020",84,Thunder Lotus Games,Netflix,Adventure,"PC, Nintendo Switch",/public/game_images/Spiritfarer.jpg
The Talos Principle 2,"Nov 2, 2023",88,Croteam,Devolver Digital,First-Person,"PC, PlayStation 5, Xbox Series X",/public/game_images/The_Talos_Principle_2.jpg
Sackboy: A Big Adventure,"Nov 12, 2020",79,Sumo Digital,Sony Interactive Entertainment,Platformer,"PC, PlayStation 5",
Escape Academy,"Jun 28, 2022",79,Coin Crew Games,iam8bit,3D,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Escape_Academy.jpg
Voice of Cards: The Isle Dragon Roars,"Oct 28, 2021",75,A-lim,Square Enix,Card Game,"PC, Nintendo Switch",
It Takes Two,"Mar 26, 2021",88,Hazelight,Electronic Arts,Adventure,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/It_Takes_Two.jpg
Unpacking,"Nov 2, 2021",83,Witch Beam,Humble Games,Puzzle,"PlayStation 5, PC, Nintendo Switch",/public/game_images/Unpacking.jpg
Avatar: Frontiers of Pandora,"Dec 7, 2023",72,Massive Entertainment,Ubisoft,Action,"PC, PlayStation 5, Xbox Series X",
Serious Sam 4: Planet Badass,"Sep 24, 2020",68,Croteam,Devolver Digital,3D,"PC, PlayStation 5, Xbox Series X",
Outriders,"Apr 1, 2021",73,People Can Fly,Square Enix,3D,"PC, PlayStation 5, Xbox Series X",/public/game_images/Outriders.jpg
Persona 5 Tactica,"Nov 17, 2023",74,P-Studio,ATLUS,Turn-Based,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Persona_5_Tactica.jpg
Vampire: The Masquerade - Shadows of New York,"Sep 10, 2020",64,Draw Distance,Draw Distance,Adventure,"PC, Nintendo Switch",
A Plague Tale: Requiem,"Oct 17, 2022",82,Asobo Studio,Focus Entertainment,Action,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",
Theatrhythm Final Bar Line,"Feb 16, 2023",87,Indies Zero,Square Enix,Music/Rhythm,Nintendo Switch,/public/game_images/Theatrhythm_Final_Bar_Line.jpg
Loop Hero,"Mar 4, 2021",82,Four Quarters,Playdigious,Role-Playing,"PC, Nintendo Switch, Xbox Series X",/public/game_images/Loop_Hero.jpg
Axiom Verge 2,"Aug 11, 2021",76,Tom Happ,Tom Happ,Action,"PC, Nintendo Switch, PlayStation 5",/public/game_images/Axiom_Verge_2.jpg
Journey to the Savage Planet,"Jan 28, 2020",74,Typhoon Studios,505 Games,Adventure,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Journey_to_the_Savage_Planet.jpg
HYPER DEMON,"Sep 19, 2022",88,Sorath,Sorath,Action,PC,/public/game_images/HYPER_DEMON.jpg
Big Brain Academy: Brain vs. Brain,"Dec 3, 2021",73,Nintendo,Nintendo,Party/Minigame,Nintendo Switch,
Octopath Traveler II,"Feb 24, 2023",85,Acquire,Square Enix,Role-Playing,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/Octopath_Traveler_II.jpg
Open Roads,"Mar 28, 2024",67,Open Roads Team,Annapurna Interactive,Adventure,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Open_Roads.jpg
Mass Effect Legendary Edition,"May 14, 2021",87,BioWare,Electronic Arts,Compilation,"PC, Xbox Series X",/public/game_images/Mass_Effect_Legendary_Edition.jpg
Marvel's Avengers,"Sep 4, 2020",67,Eidos Montreal,Square Enix,Action,"PC, PlayStation 5, Xbox Series X",/public/game_images/Marvel's_Avengers.jpg
"El Paso, Elsewhere","Sep 26, 2023",78,Strange Scaffold,Strange Scaffold,Action,"PC, Xbox Series X","/public/game_images/El_Paso,_Elsewhere.jpg"
The Mageseeker: A League of Legends Story,"Apr 18, 2023",78,Digital Sun,Riot Forge,Action,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
NORCO,"Mar 24, 2022",89,Geography of Robots,Raw Fury,Adventure,"PC, PlayStation 5, Xbox Series X",/public/game_images/NORCO.jpg
Carrion,"Jul 23, 2020",75,Phobia Game Studio,Devolver Digital,Action,"PlayStation 5, PC, Nintendo Switch",/public/game_images/Carrion.jpg
Tales of Arise,"Sep 10, 2021",87,Bandai Namco Games,Bandai Namco Games,Role-Playing,"PC, PlayStation 5, Xbox Series X",/public/game_images/Tales_of_Arise.jpg
Valiant Hearts: Coming Home,"Feb 1, 2023",73,Old Skull Games,Netflix,2D,"PC, Nintendo Switch",
Hot Wheels Unleashed 2: Turbocharged,"Oct 16, 2023",77,Milestone S.r.l,Milestone S.r.l,Arcade,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
Life is Strange: Before the Storm,"Feb 1, 2022",77,Deck Nine Games,Square Enix,Action,PC,
The Stanley Parable: Ultra Deluxe,"Apr 27, 2022",90,Crows Crows Crows,Crows Crows Crows,3D,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
Ori and the Will of the Wisps,"Mar 11, 2020",90,Mon Studios,iam8bit,Metroidvania,"PC, Nintendo Switch, Xbox Series X",/public/game_images/Ori_and_the_Will_of_the_Wisps.jpg
NBA 2K21,"Sep 3, 2020",68,Visual Concepts,2K Games,Arcade,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/NBA_2K21.jpg
Mortal Shell,"Aug 18, 2020",76,Cold Symmetry,PlayStack,Role-Playing,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Mortal_Shell.jpg
Twin Mirror,"Dec 1, 2020",65,DONTNOD Entertainment,DONTNOD Entertainment,Adventure,PC,/public/game_images/Twin_Mirror.jpg
Persona 5 Strikers,"Feb 19, 2021",83,Omega Force,ATLUS,Action,"PC, Nintendo Switch",/public/game_images/Persona_5_Strikers.jpg
Treachery in Beatdown City,"Mar 30, 2020",64,Nuchallenger,Nuchallenger,Action,"PC, Nintendo Switch, Xbox Series X",/public/game_images/Treachery_in_Beatdown_City.jpg
Weird West,"Mar 31, 2022",76,Devolver Digital,Devolver Digital,Role-Playing,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Weird_West.jpg
Sonic Origins,"Jun 23, 2022",78,Sega,Sega,Compilation,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/Sonic_Origins.jpg
Resident Evil Village,"May 7, 2021",84,Capcom,Capcom,3D,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Resident_Evil_Village.jpg
Eiyuden Chronicle: Rising,"May 10, 2022",71,NATSUME ATARI Inc.,505 Games,Role-Playing,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
Resolutiion,"May 28, 2020",74,Monolith of Minds,Monolith of Minds,Action,"PC, Nintendo Switch",/public/game_images/Resolutiion.jpg
Roller Champions,"May 25, 2022",69,Ubisoft Montreal,Ubisoft,Sports,"PC, Nintendo Switch",/public/game_images/Roller_Champions.jpg
Advance Wars 1 + 2: Re-Boot Camp,"Apr 21, 2023",83,WayForward,Nintendo,Turn-Based,Nintendo Switch,
Umurangi Generation,"May 19, 2020",81,ORIGAME DIGITAL,ORIGAME DIGITAL,VR,"PlayStation 5, PC, Nintendo Switch",/public/game_images/Umurangi_Generation.jpg
We Are OFK,"Aug 18, 2022",76,Team OFK,Team OFK,Adventure,"Nintendo Switch, PC, PlayStation 5",/public/game_images/We_Are_OFK.jpg
Granblue Fantasy: Versus,"Mar 3, 2020",78,Arc System Works,Xseed Games,2D,PC,
Dead Island 2,"Apr 21, 2023",73,Deep Silver Dambuster Studios,PLAION,3D,"PC, PlayStation 5, Xbox Series X",/public/game_images/Dead_Island_2.jpg
The Pathless,"Nov 12, 2020",77,Giant Squid,Annapurna Interactive,Action,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/The_Pathless.jpg
In Other Waters,"Apr 3, 2020",78,Jump Over The Age,Fellow Traveller,Adventure,"PC, Nintendo Switch",/public/game_images/In_Other_Waters.jpg
Bear and Breakfast,"Jul 28, 2022",72,Gummy Cat,Armor Games,Strategy,"PC, Nintendo Switch, PlayStation 5",/public/game_images/Bear_and_Breakfast.jpg
Cloudpunk,"Apr 23, 2020",73,ION LANDS,ION LANDS,Adventure,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Cloudpunk.jpg
Microsoft Flight Simulator,"Aug 18, 2020",91,Asobo Studio,Xbox Game Studios,Simulation,"PC, Xbox Series X",/public/game_images/Microsoft_Flight_Simulator.jpg
MLB The Show 24,"Mar 15, 2024",80,Sony Interactive Entertainment San Diego Studio,MLBAM,Baseball,"Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/MLB_The_Show_24.jpg
Fire Emblem Engage,"Jan 20, 2023",80,Intelligent Systems,Nintendo,Turn-Based,Nintendo Switch,/public/game_images/Fire_Emblem_Engage.jpg
Chicory: A Colorful Tale,"Jun 10, 2021",90,Greg Lobanov,Finji,Adventure,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
Before Your Eyes,"Apr 8, 2021",77,GoodbyeWorld Games,Netflix,VR,"PC, PlayStation 5",/public/game_images/Before_Your_Eyes.jpg
Olija,"Jan 28, 2021",77,Skeleton Crew Studio,Devolver Digital,Platformer,"PC, Nintendo Switch",/public/game_images/Olija.jpg
FIFA 22,"Sep 27, 2021",78,EA Canada,Electronic Arts,Simulation,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/FIFA_22.jpg
Maneater,"May 22, 2020",70,Blindside Interactive,Tripwire Interactive,Action,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Maneater.jpg
Riders Republic,"Oct 28, 2021",77,Ubisoft,Ubisoft,Sports,"PC, PlayStation 5, Xbox Series X",/public/game_images/Riders_Republic.jpg
Lost in Random,"Sep 10, 2021",78,Zoink!,Electronic Arts,Action,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Lost_in_Random.jpg
Rogue Legacy 2,"Aug 18, 2020",88,Cellar Door Games,Cellar Door Games,Role-Playing,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Rogue_Legacy_2.jpg
Pacific Drive,"Feb 21, 2024",79,Ironwood,Ironwood,Survival,"PC, PlayStation 5",/public/game_images/Pacific_Drive.jpg
Capcom Fighting Collection,"Jun 24, 2022",79,Capcom,Capcom,Compilation,"PC, Nintendo Switch",/public/game_images/Capcom_Fighting_Collection.jpg
Hyrule Warriors: Age of Calamity,"Nov 20, 2020",78,Omega Force,Nintendo,3D,Nintendo Switch,
Pentiment,"Nov 14, 2022",86,Obsidian Entertainment,Limited Run Games,Adventure,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Pentiment.jpg
Wild Hearts,"Feb 17, 2023",79,Omega Force,Electronic Arts,Role-Playing,"PC, PlayStation 5, Xbox Series X",/public/game_images/Wild_Hearts.jpg
